GRUPO;PERFIL;CODIGO;DESCRIPCION_ESTANDAR;CRITERIO_FUNCIONAL;GRADACION_CUMPLIMIENTO;OBLIGATORIO
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_01 - Registro de IPRESS;DV01;Registro de IPRESS en RENIPRESS;Ficha de inscripción RENIPRESS obtenida por OGTI según código de IPRESS;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_01 - Registro de IPRESS;DV02;Categorización de IPRESS;Número de Resolución de categorización de IPRESS verificado por OGTI;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_02 - Gestión de Historia Clínica;DV03;Formatos electrónicos HCE con firma digital;Formatos electrónicos de la HCE con firmas digitales y código de seguridad para verificación al pie. Los formatos a solicitar son los establecidos para cada UPSS según perfil de acreditación;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 01;DV05;Catálogo de Procedimientos Médicos y Sanitarios (CPMS);Catálogo CPMS en uso en su SIHCE. La IPRESS debe hacer uso del catálogo CPMS o presentar tabla de homologación para envío al RENHICE;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 02;DV06;Catálogo de Productos Farmacéuticos y Catálogo Sectorial;Catálogo de Productos Farmacéuticos de uso en la IPRESS y el Catálogo Sectorial de Productos Farmacéuticos para envío a RENHICE (DCI + ATC);Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 03;DV07;Registro banco de datos personales de pacientes en MINJUS;Constancia del Registro de banco de datos personales de usuarios de salud/pacientes ante MINJUS;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 03;DV08;Convenio RENIEC para identificación de usuarios;Derecho de uso/convenio/contrato del servicio de consulta a RENIEC para identificación de usuarios de salud, representantes, profesionales de salud y otros actores peruanos;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 03;DV09;Convenio Migraciones para identificación de extranjeros;Derecho de uso/convenio/contrato del servicio de consulta a Migraciones para identificación de usuarios extranjeros (SOLO SI EXISTE DISPONIBILIDAD DE USO PARA TODO EL SECTOR);Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 05;DV10;Listado de UPS habilitadas en SIHCE;Listado de UPS habilitadas en su SIHCE. OGTI verifica versus lo registrado en RENIPRESS;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 06;DV11;Archivo Modelo de datos por episodio de atención;Archivo del Modelo de datos por episodio de atención de acuerdo a la especificación de Información Clínica registrada al cierre de la atención o al egreso según corresponda;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 07;DV12;Registro banco de datos personales del personal de salud;Constancia de registro de banco de datos personales del personal de salud de la IPRESS;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 07;DV13;Convenio RENIEC para identificación del personal;Derecho de uso/convenio/contrato del servicio de consulta a RENIEC para identificación de personal de salud;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 07;DV14;Convenio Migraciones para personal extranjero;Derecho de uso/convenio/contrato del servicio de consulta a Migraciones para identificación de personal de salud extranjero con permiso de trabajo en el Perú;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 07;DV16;Catálogo de Colegios Profesionales en SIHCE;Catálogo usado en SIHCE de Colegios Profesionales;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_03 - Alineamiento IEDS 08;DV18;Catálogo de IAFAS y documentación técnica de integración;Catálogo de IAFAS usado en SIHCE. Documentación técnica de integración de servicio de consulta en línea al Registro de IAFAS (por lo menos debe consultar a su principal IAFAS en tiempo real);Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_04 - Licencias y derecho de uso;DV20;Documentación de propiedad intelectual / licencias de uso;Documentación referida a propiedad intelectual, licencia de uso o similar por cada sistema/aplicación que forma parte del SIHCE con vigencia no menor a 8 meses calendarios desde inicio del proceso;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_04 - Licencias y derecho de uso;DV21;Manual de usuario y entorno de prueba;Documentación del sistema: Manual de usuario, Dirección electrónica del ambiente de prueba réplica del ambiente de producción;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_05 - Firma digital;DV22;Licencia de uso software de firma digital;Documentación de Licencia de uso o similar del software de firma digital integrado al SIHCE con vigencia no menor a 8 meses calendarios desde inicio;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_05 - Firma digital;DV23;Resolución INDECOPI de acreditación de software;OGTI verifica la vigencia de la Resolución de INDECOPI de acreditación de software;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_05 - Firma digital;DV24;Declaración Jurada integración de firma digital en todos los subsistemas;OGTI verifica la Declaración Jurada de integración de software de firma digital en todo subsistema/aplicación o componente donde se necesite autenticación con certificado digital o firma digital del personal de salud;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_06 - Equipamiento y conectividad;DV25;Formato de equipamiento y conectividad;Formato de equipamiento y conectividad de los ambientes donde se utiliza el SIHCE por cada personal de salud responsable de la atención. Utilizar Anexo N° 08;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_07 - Disociación;DV26;Modelo físico de la base de datos;Documentación del modelo físico de la base de datos correspondiente a la información de la filiación y las atenciones;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_08 - Autorización de envío a RENHICE;DV27;Declaración Jurada de autorización de envío de datos al RENHICE;Declaración Jurada de uso de formato de autorización de tratamiento/envío de datos hacia RENHICE;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_09 - Autorización de acceso a RENHICE;DV28;Declaración Jurada de autorización de acceso a RENHICE;Declaración Jurada de uso de formato de autorización de tratamiento/acceso de datos registrados en el RENHICE;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_10 - Actualización RENHICE;DV29;Especificación técnica de la trama a enviarse al RENHICE;Documentación de la especificación técnica de la trama a enviarse al RENHICE;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_11 - Información clínica sensible;DV30;Prototipos de pantallas diferenciadas para solicitud de acceso a info sensible en RENHICE;Documentación y especificación técnica de los prototipos de pantallas diferenciadas para solicitud de acceso a la información clínica sensible registrada en RENHICE;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_12 - Interoperabilidad;DV31;Declaración Jurada de implementación de interfaces de intercambio (CIE-10, IEDS, HL7, FHIR);"Declaración Jurada de implementación de interfaces de intercambio y protocolos de información utilizando CIE 10, IEDS, tramas estandarizadas para prescripción y dispensación y mensajería HL7 FHIR - recursos Paciente y Observación; se puede considerar CDA nivel 1 del Resumen de la atención";Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_12 - Interoperabilidad;DV32;Documentación de conexión a redes privadas virtuales u otros canales seguros;Documentación de conexión con redes privadas virtuales u otros canales seguros para acceder al RENHICE y a la PIDE salud;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_13 - Seguridad;DV33;Documentación de gestión de seguridad de la información (Ley 29733);Documentos referidos a la gestión de la seguridad de la información precisados en la Ley N° 29733 y su Reglamento;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_13 - Seguridad;DV34;Documentos de alineamiento a ISO/IEC 27001 o superior;Documentos de compromiso de alineamiento a Norma Técnica Peruana ISO/IEC 27001 o superior vigente;Cumple / No Cumple;SI
REQUISITOS BÁSICOS DE ACREDITACIÓN;RBA_13 - Seguridad;DV35;Declaración Jurada de planes de autorregulación para mitigación de riesgos;Declaración Jurada de planes de autorregulación para mitigación de riesgos en materia de seguridad de la información;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);NOTA_ANX10;Nota del Anexo 10 - Responsabilidad del sistema sobre formatos según perfil acreditado;Desde el sistema se debe garantizar los formatos indicados según logro de perfil específico a acreditar. El sistema debe ofrecer la funcionalidad de firma digital para el refrendo legal de los formatos.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_001;Atención en Consulta Externa;Formato de Atención en Consulta Externa.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_002;Atención de Inmunización / Carné de Vacunación;Formato de Atención de Inmunización/Carné de Vacunación de acuerdo al Esquema Nacional de Vacunación.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_003;Atención en Emergencia;Formato de Atención en Emergencia.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_004;Hoja de autorización de ingreso a hospitalización (Opcional);"Hoja de autorización de ingreso a hospitalización. Opcional; no tiene formato estandarizado.";Cumple / No Cumple;NO (Opcional)
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_005;Atención en Hospitalización;Formato de Atención en Hospitalización.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_006;Evolución;Formato de Evolución.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_007;Epicrisis;Formato de Epicrisis.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_008;Ficha Familiar;Formato de Ficha Familiar.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_009;Filiación;Formato de Filiación.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_010;Notas de Enfermería;Formato de Notas de Enfermería.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_011;Kárdex de Enfermería;Formato de Kárdex de Enfermería.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_012;Hoja de Control de Medicamentos / Hoja de Control Visible;Formato de Hoja de Control de Medicamentos.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_013;Gráfica de Signos/Funciones Vitales;Formato de Gráfica de Signos/Funciones Vitales.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_014;Hojas de Balance Hidro-Electrolítico;Formato de Hojas de Balance Hidro-Electrolítico.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_015;Receta electrónica;Formato de Receta electrónica.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_016;Solicitud de Interconsulta;Formato de Solicitud de Interconsulta.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_017;Informe de Interconsulta;Formato de Informe de Interconsulta.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_018;Orden de Intervención Quirúrgica;Formato de Orden de Intervención Quirúrgica.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_019;Reporte Operatorio;Formato de Reporte Operatorio.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_020;Hoja de Evaluación Pre Anestésica;Formato de Hoja de Evaluación Pre Anestésica.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_021;Hoja de Anestesia;Formato de Hoja de Anestesia.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_022;Hoja Post Anestésica;Formato de Hoja Post Anestésica.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_023;Historia Clínica Materno Perinatal;Formato de Historia Clínica Materno Perinatal.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_024;Notas de Obstetricia;Formato de Notas de Obstetricia.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_025;Panorama Obstétrico;Formato de Panorama Obstétrico.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_026;Kárdex de Obstetricia;Formato de Kárdex de Obstetricia.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_027;Registros propios de Estomatología / Odontograma;Formatos de registros propios de Estomatología, incluyendo odontograma y fichas odonto-estomatológicas.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_028;Consentimiento Informado;Formato de Consentimiento Informado.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_029;Retiro Voluntario;Formato de Retiro Voluntario.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_030;Referencia y Contrarreferencia;Formato de Referencia y Contrarreferencia.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_031;Informe de Alta;Formato de Informe de Alta.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_032;Certificado de Discapacidad;Formato de Certificado de Discapacidad.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_033;Notificación de sospechas de reacciones adversas a medicamentos;Formato de Notificación de sospechas de RAM u otros productos farmacéuticos.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_034;Autorización de Envío de Información Clínica al RENHICE;Formato de Autorización de Envío de Información Clínica al RENHICE.;Cumple / No Cumple;SI
FORMATOS MÍNIMOS HCE;Formatos mínimos de la Historia Clínica Electrónica (Anexo 10);FMT_035;Autorización de Acceso a Información Clínica en el RENHICE;Formato de Autorización de Acceso a Información Clínica en el RENHICE.;Cumple / No Cumple;SI
PERFIL FUNCIONAL GLOBAL;Criterios Generales (Anexo 09);N0.GBL.001;El sistema DEBE ofrecer la capacidad de El sistema DEBE cumplir 2: Cumplimiento generar un resumen de la HCE del usuario con la funcidn Prod;El sistema DEBE ofrecer la capacidad de El sistema DEBE cumplir 2: Cumplimiento generar un resumen de la HCE del usuario con la funcidn Producir un Total de salud/ paciente que incluya: dates registro resumido de 0: No personales, dates del episodic clinico, servicios de salud, Cumplimiento Informacion Clinica de la atencion PARA induyendo datos minimos y generar las tramas de Informacion Clinica estandarizados (matriz de a enviarse al RENHICE. datos) que constan de todo y parte de un registro individual de atencion al paciente PARA cumplir con el requisito de proporcionar información clínica a ser;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL GLOBAL;Criterios Generales (Anexo 09);N0.GBL.002;Los prestadores y administradores;"El sistema DEBE ofrecer la 2: Cumplimiento necesitan acceder a los datos en el SIHCE capacidad de generar Total para la toma de decisiones clínicas, informes de datos clínicos y 0: No administrativas, financieras, informes de administrativos Cumplimiento pistas de auditoria y metadatos, y para la estructurados usando creacidn de informes para los pacientes. herramientas de generacidn Varies sistemas pueden usar herramientas de informes. de generacidn de informes internas para Se debe de validar que el cumplir con esta funcidn. Los informes se sistema genera las tramas pueden basar en datos estructurados y/o de datos texto no estructurado de la historia clínica clinico/administrativos del paciente. Los usuarios deben tener la ""SETI-IPRESS"", a enviar a";2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL GLOBAL;Criterios Generales (Anexo 09);N0.GBL.003;"Un SIHCE puede estar conformado por un El sistema que estd formado 2: Cumplimiento conjunto de componentes o aplicaciones; por conjunto de T";"Un SIHCE puede estar conformado por un El sistema que estd formado 2: Cumplimiento conjunto de componentes o aplicaciones; por conjunto de Total cada aplicacidn gestiona un subconjunto de componentes, aplicaciones o 0: No la informacion de salud. Por Io tanto, es sistemas DEBE ofrecer la Cumplimiento importante que, a traves de varies capacidad de recibir y mecanismos de interoperabilidad, un transmitir información SIHCE mantenga actualizada toda la usando estcindares de informacion relevante sobre la historia intercambio entre sus clínica en sincronia. Por ejemplo, si un subsistemas. médico ordena una RM, se creard un Usando estdndares de conjunto de imagenes de diagndstico y un codification, estandares de informe de radiologia. Como resultado, la mensajeria y canales de";2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL GLOBAL;Criterios Generales (Anexo 09);N0.GBL.004;Todas las entidades que tienen acceso al;El sistema DEBE autenticar 2: Cumplimiento SIHCE estan sujetas a la autenticacion. a las entidades (p. ej. Total Algunos ejemplos de autenticacidn de usuarios, organizaciones, 0: No entidades, con diversos niveles de rigor en aplicaciones, componentes, Cumplimiento N°3}3 -MINSA/OGTI-2025 QUE ESTABLECE EL PROCESO DE ACREDITACldN DE LOS SISTEMAS DE;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL GLOBAL;Criterios Generales (Anexo 09);N0.GBL.005;Las entidades estdn autorizadas para;El sistema DEBE ofrecer la 2: Cumplimiento componentes de un SIHCE de acuerdo c< capacidad de gestionar Total a lea nee de practica dentro de politicas lege conjuntos de permisos de 0:No jurisdiccion legal. Las reglas de autoriz control de acceso otorgados Cumplimiento proporcionan un marco apropiado para estat a una entidad (p. ej. usuario, permisos de acceso y privilegios para el use aplicacibn, dispositivo) con Sistema de Información de HCE, segiin el us base en la identidad, rol y/o rol o contexto. contexto, de acuerdo con el alcance de la practica, la Se pueden aplicar una combinacion de politica organizacional y/o la estas categorias de autorizacibn para ley jurisdiccional. controlar el acceso a los recursos del El sistema DEBE ofrecer la;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL GLOBAL;Criterios Generales (Anexo 09);N0.GBL.006;Para garantizar el control del acceso, un;El sistema DEBE cumplir 2: Cumplimiento SIHCE debe autenticar y verificar la con la funcibn Control de Total autorizacidn de las entidades para las acceso de entidades, 0: No operaciones correspondientes. autenticacibn y autorizacibn, Cumplimiento asi como gestionar las reglas de acceso al sistema y a los datos PARA permitir brindar seguridad a los registros y permitir el cumplimiento de la normativa vigente;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL GLOBAL;Criterios Generales (Anexo 09);N0.GBL.007;Una IPRESS podrb gestionar la capacidad;El sistema DEBE cumplir 2: Cumplimiento del paciente de visualizar el contenido de con la funcibn Gestibn de Total su HCE de acuerdo con la politica acceso del paciente PARA 0: No organizacional o la ley jurisdiccional. permitir al Usuario de Salud Cumplimiento Generalmente, un paciente o su o su Representante Legal representante legal (p. ej. el tutor, sustituto) visualizar su HCE. tiene el derecho de visualizar su HCE;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL GLOBAL;Criterios Generales (Anexo 09);N0.GBL.008;Un SIHCE permite el ingreso de datos a la;El sistema DEBE cumplir 2: Cumplimiento historia clínica electrbnica de un paciente y con la funcibn aplicacibn de Total puede ser un emisor o receptor de la firma digital PARA garantizar 0: No informacibn de la atencibn de salud. El no el no repudio y contar con Cumplimiento repudio es una forma de garantizar que la documentos electrbnicos fuente de los datos/del registro no puede con firma digital o electrbnica negar despubs ese hecho, y que el emisor segun la normativa vigente. de un mensaje no puede negar despubs VeranexolO haber enviado el mensaje, y que el receptor no puede negar haberlo recibido. Los componentes del no repudio pueden;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL GLOBAL;Criterios Generales (Anexo 09);N0.GBL.009;Cuando se realice- el intercambio de;El sistema DEBE cumplir 2: Cumplimiento informacion de la HCE, se quiere aplicar con la funcidn Intercambio Total consideraciones apropiadas de seguridad y seguro de datos, que incluye 0: No privacidad, incluyendo la ofuscacion de la funcidn de enrutamiento Cumplimiento dates, as! como la autenticacidn del origen seguro de datos, asi como y del destino, cuando sea necesario. Por encriptar y desencriptar los ejemplo, puede ser necesario encriptar los datos, con el fin de proteger datos que se envian a destines remotes o los datos PARA permitir externos. brindar seguridad a los registros y permitir el cumplimiento de la normativa vigente;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL GLOBAL;Criterios Generales (Anexo 09);N0.GBL.010;Se infringe la privacidad y confidencialidad;El sistema DEBE cumplir 2: Cumplimiento de la HCE de los pacientes si se accede a con la funcidn privacidad y Total las mismas sin autorizacidn. Las confidencialidad del paciente 0: No infracciones o posibles infracciones PARA permitir brindar Cumplimiento pueden imponer perdidas econdmicas o seguridad a los registros y sociales tangibles en los pacientes permitir el cumplimiento de afectados, asi como sensaciones menos la normativa vigente. tangibles de vulnerabllidad y dolor. El temor Se cumple el criterio cuando de posibles infracciones desalienta a los el sistema permite controlar pacientes para revelar información que solo los profesionales de personal sensible que puede ser relevante salud programados y para los servicios de diagndstico y autorizados tengan acceso a;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL GLOBAL;Criterios Generales (Anexo 09);N0.GBL.011;Los Sistemas de Información de HCE han;El sistema DEBE cumplir 2: Cumplimiento incorporado Disparadores (Triggers) de con la funcidn Auditoria, asi Total Auditoria para capturar eventos claves en como limitar el acceso 6 la 0: No tiempo real, incluyendo eventos modificacibn de información Cumplimiento relacionados con la gestión de registros, de registros de auditoria a seguridad, operaciones o rendimiento del las entidades sistema, o situaciones clínicas. Los detalles correspondientes de del evento, incluyendo metadatos claves acuerdo con el alcance de la (quien, qud, cudndo, ddnde), se capturan practica, la politica en un Registro de Auditoria. Las funciones organizacional y/o la ley de Revision de Auditoria permiten diversos jurisdiccional PARA permitir mdtodos de notificacidn de eventos criticos, la trazabilidad de los;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL GLOBAL;Criterios Generales (Anexo 09);N0.GBL.012;La interoperabilidad semantics requiere;El sistema DEBE cumplir 2: Cumplimiento terminologias estdndares combinadas con con la funcidn Terminologia Total un modelo de información estdndar formal. estandar y modelos de 0: No Un ejemplo de modelo de información es el terminologia estandar Cumplimiento Modelo de Información de Referencia de aprobada (IEDS, HL7. Otro ejemplo es la Norma ISO/EN incorporando CIE-X u otro 13606, Comunicacidn de la historia clínica estandar aprobado por el electrdnica. La terminologia ofrece una MINSA. PARA permitir la identidad semantica y computable a sus interoperabilidad semdntica. conceptos. Otros ejemplos de terminologia que un SIHCE puede soportar incluyen: LOINC, SNOMED, CIE-9 (ICD-9), CIE-10;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL GLOBAL;Criterios Generales (Anexo 09);N0.GBL.013;El control de versiones permite que existan;El sistema DEBE cumplir 2: Cumplimiento varies conjuntos o versiones de la misma con la funcidn Total terminologia y se reconozcan claramente a Mantenimiento y control de 0: No travds del tiempo. Las terminologias versiones de terminologia Cumplimiento estandares por Io general se actualizan estandar PARA conservar la peribdicamente, y se puede requerir el uso semantica de dates concurrente de versiones diferentes. codificados a traves del Idealmente, el significado de un concepto tiempo. nunca cambia a travhs del tiempo, pero un concepto puede dejarse fuera de uso y reemplazarse por un nuevo concepto en una nueva versidn;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL GLOBAL;Criterios Generales (Anexo 09);N0.GBL.014;Generalmente, un SIHCE esta conformado;"El sistema DEBE cumplir 2: Cumplimiento por varias aplicaciones. Algunas de estas con la funcidn Integracidn de Total aplicaciones pueden estar dentro de un aplicaciones basada en 0: No SIHCE; otras pueden ser externas al estandares PARA permitir la Cumplimiento mismo. El usuario del SIHCE a menudo se interoperabilidad entre beneficia cuando dichas aplicaciones estbn subsistemas y aplicaciones integradas. Las aplicaciones se pueden del mismo SIHCE. integrar ad hoc o con base en estandares. El (los) metodo(s) con el (los) que se pueden integrar las aplicaciones dentro de una organizacidn depende(n) del enfoque de la organizacidn para la integracidn de";2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL GLOBAL;Criterios Generales (Anexo 09);N0.GBL.015;Las funciones de implementacidn de reglas;El sistema DEBE cumplir 2: Cumplimiento del negocio del SIHCE incluyen el soporte con la funcidn Gestión de Total para la toma de decisiones, soporte para el reglas del negocio PARA el 0: No diagndstico, control del flujo de trabajo y soporte de los procesos de Cumplimiento privilegios de acceso, asi como los valores la IPRESS. predeterminados y preferencias del usuario y del sistema. Un SIHCE da soporte a la capacidad de los prestadores e instituciones para personalizar los componentes del soporte para la toma de decisiones como disparadores (triggers), reglas o algoritmos,;2: Cumplimiento Total / 0: No Cumplimiento;SI
PERFIL FUNCIONAL GLOBAL;Criterios Generales (Anexo 09);N0.GBL.016;Para permitir la conservacidn de la base de;El sistema DEBE cumplir con 2: Cumplimiento datos de la HCE y sus datos, debe estar la funcidn Respaldo y Total presente la funcionalidad para registrar una recuperacidn de base datos 0: No copia de la misma y su contenido en de todo el contenido de las Cumplimiento medios fuera de linea, asi como la bases de datos, incluyendo recuperacidn del sistema desde una copia programas y todos los de respaldo y reanudacidn de la operacidn componentes de software normal del sistema. La copia respaldo debe necesarios para permitir la preservar tanto los datos como la recuperacidn completa de la estructura e información de la definicidn HCE (es decir, respaldo y suficiente de la base de datos, para recuperacidn “totales”). recuperar un Sistema de Información de PARA permitir brindar;2: Cumplimiento Total / 0: No Cumplimiento;SI
